10101

-603.125 , 0 , 0
-528.5 , 1 , 1
-416.25 , 2 , 2
10.5 , 2 , 0
-537 , 3 , 3
12.375 , 3 , 0
13.5 , 3 , 1
-489.25 , 4 , 4
-499.125 , 5 , 5
-524.25 , 6 , 6
3.875 , 6 , 3
10.75 , 6 , 5
15 , 6 , 2
9.625 , 6 , 0
2 , 6 , 4
-470.125 , 7 , 7
5.75 , 7 , 5
11.625 , 7 , 1
9 , 7 , 2
14.875 , 7 , 4
5.25 , 7 , 0
4.375 , 7 , 3
-465.75 , 8 , 8
7.625 , 8 , 2
10.375 , 8 , 1
4.875 , 8 , 5
10.75 , 8 , 4
5.875 , 8 , 6
0.875 , 8 , 3
12.25 , 8 , 0
-580.125 , 9 , 9
5 , 9 , 5
-503.125 , 10 , 10
2.875 , 10 , 6
6.875 , 10 , 0
13 , 10 , 1
2.25 , 10 , 8
-507.875 , 11 , 11
15.375 , 11 , 5
9.875 , 11 , 1
11.25 , 11 , 6
7 , 11 , 7
8.625 , 11 , 0
-465.5 , 12 , 12
9.125 , 12 , 5
4.75 , 12 , 2
-533.25 , 13 , 13
6.75 , 13 , 5
10.375 , 13 , 6
-551.625 , 14 , 14
4.125 , 14 , 10
6.875 , 14 , 5
7 , 14 , 0
2.625 , 14 , 3
6.125 , 14 , 4
-481.5 , 15 , 15
-533.625 , 16 , 16
3.375 , 16 , 5
12.125 , 16 , 0
13.875 , 16 , 10
4.5 , 16 , 12
13.125 , 16 , 15
3.75 , 16 , 6
3.875 , 16 , 4
12.5 , 16 , 14
8.25 , 16 , 3
-587.875 , 17 , 17
0.875 , 17 , 15
10.25 , 17 , 13
0.375 , 17 , 2
4.25 , 17 , 11
1 , 17 , 7
5.875 , 17 , 0
3.75 , 17 , 8
5.375 , 17 , 16
11.375 , 17 , 6
4.375 , 17 , 1
15.5 , 17 , 9
-454.375 , 18 , 18
11.875 , 18 , 9
12.75 , 18 , 14
5.125 , 18 , 2
-622.125 , 19 , 19
2.5 , 19 , 17
2.625 , 19 , 7
9.25 , 19 , 3
13.625 , 19 , 16
13.625 , 19 , 15
15.5 , 19 , 8
7.875 , 19 , 1
11.5 , 19 , 4
2.25 , 19 , 5
13.5 , 19 , 13
1.75 , 19 , 2
14.5 , 19 , 11
9.5 , 19 , 9
10.875 , 19 , 0
-424.75 , 20 , 20
-578.125 , 21 , 21
14.75 , 21 , 0
5.75 , 21 , 14
3.875 , 21 , 17
-404.125 , 22 , 22
1.125 , 22 , 9
12.125 , 22 , 16
4.75 , 22 , 10
6.75 , 22 , 18
4 , 22 , 15
1.625 , 22 , 5
9.625 , 22 , 6
6.875 , 22 , 0
-538 , 23 , 23
14 , 23 , 10
7.25 , 23 , 15
2.125 , 23 , 16
5.125 , 23 , 8
15.375 , 23 , 18
3.25 , 23 , 2
2.125 , 23 , 9
9.375 , 23 , 17
12.5 , 23 , 3
0.375 , 23 , 5
13.875 , 23 , 14
-479.75 , 24 , 24
4.875 , 24 , 15
6 , 24 , 10
10.625 , 24 , 14
4.375 , 24 , 16
6.375 , 24 , 9
0.875 , 24 , 20
-509.875 , 25 , 25
3.625 , 25 , 21
8 , 25 , 1
9.875 , 25 , 18
8.375 , 25 , 0
6.875 , 25 , 9
6.125 , 25 , 16
1.5 , 25 , 20
7.5 , 25 , 3
1.75 , 25 , 23
3.625 , 25 , 12
3.625 , 25 , 24
7.75 , 25 , 22
5.125 , 25 , 11
13.125 , 25 , 13
-537.375 , 26 , 26
10 , 26 , 20
14.25 , 26 , 1
8.25 , 26 , 14
1.625 , 26 , 23
13.125 , 26 , 11
6.625 , 26 , 2
7.25 , 26 , 12
-354.125 , 27 , 27
7.875 , 27 , 0
8.875 , 27 , 10
2.625 , 27 , 22
2.375 , 27 , 3
12.125 , 27 , 1
-532.5 , 28 , 28
4.375 , 28 , 10
-422.75 , 29 , 29
11.375 , 29 , 9
